var,category,rule
cpi_headline,inflation_prices,YOY_LOGDIFF
cpi_core,inflation_prices,YOY_LOGDIFF
cpi_services,inflation_prices,YOY_LOGDIFF
cpi_shelter,inflation_prices,YOY_LOGDIFF
cpi_rent,inflation_prices,YOY_LOGDIFF
cpi_oer,inflation_prices,YOY_LOGDIFF
cpi_food_home,inflation_prices,YOY_LOGDIFF
cpi_energy_services,inflation_prices,YOY_LOGDIFF
cpi_transport,inflation_prices,YOY_LOGDIFF
cpi_med_services,inflation_prices,YOY_LOGDIFF
cpi_med_commod,inflation_prices,YOY_LOGDIFF
cpi_comm_less_fe,inflation_prices,YOY_LOGDIFF
pcepi_headline,inflation_prices,YOY_LOGDIFF
pcepi_core,inflation_prices,YOY_LOGDIFF
gdp_deflator,inflation_prices,YOY_LOGDIFF
ppi_all_manufacturing,inflation_prices,YOY_LOGDIFF
ppi_mining,inflation_prices,YOY_LOGDIFF
breakeven_5y,yields_curve,KEEP_LEVEL
breakeven_10y,yields_curve,KEEP_LEVEL
infl_5y5y_fwd,other,KEEP_LEVEL
umich_infl_1y,expectations_surveys,KEEP_LEVEL
expinf_5y_clevelandfed,other,KEEP_LEVEL
indpro_total,real_activity,YOY_LOGDIFF
indpro_manufacturing,real_activity,YOY_LOGDIFF
indpro_durables,real_activity,YOY_LOGDIFF
indpro_nondurables,real_activity,YOY_LOGDIFF
caputil_total,other,KEEP_LEVEL
caputil_manufacturing,other,KEEP_LEVEL
retail_sales_nominal,real_activity,YOY_LOGDIFF
retail_sales_real,real_activity,YOY_LOGDIFF
gdp_nominal,real_activity,YOY_LOGDIFF
gdp_real,real_activity,YOY_LOGDIFF
exports_real,other,KEEP_LEVEL
imports_real,other,KEEP_LEVEL
durables_new_orders,real_activity,KEEP_LEVEL
durables_shipments_value,real_activity,KEEP_LEVEL
durables_unfilled_orders,real_activity,KEEP_LEVEL
manufacturers_inventories,other,KEEP_LEVEL
business_inventories,other,KEEP_LEVEL
retail_inventories,real_activity,KEEP_LEVEL
wholesale_inventories,other,KEEP_LEVEL
lei,other,KEEP_LEVEL
coincident_index,other,KEEP_LEVEL
cf_nai,other,KEEP_LEVEL
oecd_consumer_conf_cli,other,KEEP_LEVEL
oecd_business_conf_cli,other,KEEP_LEVEL
oecd_mfg_business_conf,other,KEEP_LEVEL
housing_starts,other,KEEP_LEVEL
housing_starts_sf,other,KEEP_LEVEL
housing_starts_mf5,other,KEEP_LEVEL
permits,other,KEEP_LEVEL
permits_sf,other,KEEP_LEVEL
new_home_sales,real_activity,YOY_LOGDIFF
new_home_price_median,inflation_prices,KEEP_LEVEL
new_home_months_supply,other,KEEP_LEVEL
case_shiller,other,KEEP_LEVEL
fhfa_hpi_all_transactions,other,KEEP_LEVEL
mortgage_30y,other,KEEP_LEVEL
mortgage_15y,other,KEEP_LEVEL
unrate_u3,labor_market,KEEP_LEVEL
unrate_u6,labor_market,KEEP_LEVEL
employment_level,labor_market,YOY_LOGDIFF
unemployment_level,labor_market,KEEP_LEVEL
labor_force,other,KEEP_LEVEL
participation,labor_market,KEEP_LEVEL
emp_pop_ratio,other,KEEP_LEVEL
payrolls_total,labor_market,YOY_LOGDIFF
payrolls_private,labor_market,YOY_LOGDIFF
payrolls_manufacturing,labor_market,YOY_LOGDIFF
payrolls_construction,labor_market,YOY_LOGDIFF
payrolls_trade_transport_util,labor_market,YOY_LOGDIFF
payrolls_retail_trade,real_activity,YOY_LOGDIFF
payrolls_leisure_hosp,labor_market,YOY_LOGDIFF
payrolls_govt,labor_market,YOY_LOGDIFF
ahe_total,labor_market,KEEP_LEVEL
avg_weekly_hours_mfg,labor_market,KEEP_LEVEL
avg_weekly_earnings_mfg,other,KEEP_LEVEL
initial_claims,labor_market,KEEP_LEVEL
continuing_claims,labor_market,KEEP_LEVEL
jolts_openings,other,KEEP_LEVEL
jolts_hires,other,KEEP_LEVEL
jolts_quits,other,KEEP_LEVEL
jolts_layoffs,other,KEEP_LEVEL
sloos_tightening_ci_large_mid,financial_conditions,KEEP_LEVEL
effr,policy_rates,KEEP_LEVEL
sofr,policy_rates,KEEP_LEVEL
fed_funds_target,policy_rates,KEEP_LEVEL
tbill_3m,other,KEEP_LEVEL
ust_2y,other,KEEP_LEVEL
ust_5y,other,KEEP_LEVEL
ust_10y,other,KEEP_LEVEL
ust_30y,other,KEEP_LEVEL
real_5y,other,KEEP_LEVEL
real_10y,other,KEEP_LEVEL
stlfsi,other,KEEP_LEVEL
nfci,other,KEEP_LEVEL
anfci,other,KEEP_LEVEL
us_epu_index,other,KEEP_LEVEL
moody_aaa,other,KEEP_LEVEL
moody_baa,other,KEEP_LEVEL
aaa_10y_spread,yields_curve,KEEP_LEVEL
baa_10y_spread,yields_curve,KEEP_LEVEL
ig_oas,financial_conditions,KEEP_LEVEL
hy_oas,financial_conditions,KEEP_LEVEL
consumer_credit_total,financial_conditions,KEEP_LEVEL
consumer_credit_revolving,financial_conditions,KEEP_LEVEL
consumer_credit_nonrevolving,financial_conditions,KEEP_LEVEL
total_bank_credit,financial_conditions,KEEP_LEVEL
commercial_industrial_loans,other,KEEP_LEVEL
real_estate_loans,other,KEEP_LEVEL
delinq_consumer_loans,other,KEEP_LEVEL
delinq_credit_cards,financial_conditions,KEEP_LEVEL
chargeoff_credit_cards,financial_conditions,KEEP_LEVEL
m1,other,KEEP_LEVEL
m2,other,KEEP_LEVEL
monetary_base,other,KEEP_LEVEL
m2_velocity,other,KEEP_LEVEL
m1_velocity,other,KEEP_LEVEL
real_m2,other,KEEP_LEVEL
sp500,financial_conditions,KEEP_LEVEL
nasdaq,other,KEEP_LEVEL
vix,financial_conditions,KEEP_LEVEL
dollar_broad,financial_conditions,KEEP_LEVEL
dollar_major,financial_conditions,KEEP_LEVEL
usd_eur,financial_conditions,KEEP_LEVEL
usd_jpy,financial_conditions,KEEP_LEVEL
usd_gbp,financial_conditions,KEEP_LEVEL
wti,other,KEEP_LEVEL
gasoline,other,KEEP_LEVEL
natgas,other,KEEP_LEVEL
copper,other,KEEP_LEVEL
commodity_index_proxy,other,KEEP_LEVEL
t10y2y,yields_curve,KEEP_LEVEL
t10y3mm,yields_curve,KEEP_LEVEL
t5yff,yields_curve,KEEP_LEVEL
t1yff,other,KEEP_LEVEL
cpff,other,KEEP_LEVEL
tb3smffm,other,KEEP_LEVEL
tb6smffm,other,KEEP_LEVEL
aaaff,other,KEEP_LEVEL
baaff,other,KEEP_LEVEL
ref_sp500,financial_conditions,KEEP_LEVEL
ref_aaii_bull_bear_spread,yields_curve,KEEP_LEVEL
ref_cdx_na_hy,financial_conditions,KEEP_LEVEL
ref_cdx_na_ig,financial_conditions,KEEP_LEVEL
ref_cb_consumer_confidence,other,KEEP_LEVEL
ref_gold,other,KEEP_LEVEL
ref_mortgage_applications,other,KEEP_LEVEL
ref_median_exp_infl_1y,expectations_surveys,KEEP_LEVEL
ref_median_exp_infl_3y,expectations_surveys,KEEP_LEVEL
ref_russell_2000,other,KEEP_LEVEL
ref_us_ois_3m,financial_conditions,KEEP_LEVEL
ref_usd_dxy_index,financial_conditions,KEEP_LEVEL
ref_world_trade_index,other,KEEP_LEVEL
ref_acm_term_premium_10y,yields_curve,KEEP_LEVEL
ref_export_price_index,inflation_prices,KEEP_LEVEL
ref_import_price_index,inflation_prices,KEEP_LEVEL
ref_unmich,other,KEEP_LEVEL
